technology,year,parameter,value,unit,source,further description,file_path
solid biomass to hydrogen,2045,efficiency,0.56,per unit,"Zech et.al. DBFZ Report Nr. 19. Hy-NOW - Evaluierung der Verfahren und Technologien für die Bereitstellung von Wasserstoff auf Basis von Biomasse, DBFZ, 2014",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
solid biomass to hydrogen,2045,investment,2750.0,EUR/kW_th,"Zech et.al. DBFZ Report Nr. 19. Hy-NOW - Evaluierung der Verfahren und Technologien für die Bereitstellung von Wasserstoff auf Basis von Biomasse, DBFZ, 2014",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
uranium,2045,fuel,2.6,EUR/MWh_th,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP,2045,FOM,2.31,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP,2045,VOM,25.78,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP,2045,c_b,0.3,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP,2045,c_v,1.0,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP,2045,efficiency,0.21,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP,2045,efficiency-heat,0.76,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP,2045,investment,7329.26,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Nominal investment ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP CC,2045,FOM,2.31,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP CC,2045,VOM,25.78,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP CC,2045,c_b,0.3,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP CC,2045,c_v,1.0,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP CC,2045,efficiency,0.21,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP CC,2045,efficiency-heat,0.76,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP CC,2045,investment,7329.26,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Nominal investment ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
waste CHP CC,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","08 WtE CHP, Large, 50 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
water tank charger,2045,efficiency,0.84,per unit,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  efficiency from sqr(Round trip efficiency),/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
water tank discharger,2045,efficiency,0.84,per unit,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  efficiency from sqr(Round trip efficiency),/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
retrofit,2045,investment,180.0,USD/kW,"Fan J L, Xu M, Li F, et al. Carbon capture and storage (CCS) retrofit potential of coal-fired power plants in China: the technology lock-in and cost optimization perspective[J]. Applied energy, 2018, 229: 326-334.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
retrofit,2045,lifetime,40.0,years,same as coal power plants,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
retrofit,2045,VOM,69.0,USD/tCO2,"Lockwood T. A compararitive review of next-generation carbon capture technologies for coal-fired power plant[J]. Energy procedia, 2017, 114: 2658-2670.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
